"","Main_Location","Date","Dir","AM_PHV","PM_PHV","ADT","AAWDT","AAWET","Intersection","formatted_address","geometry.location.lat","geometry.location.lng"
"1","11TH AVE",2006-05-04,"EB",344,535,NA,NA,NA,"UINTA","Uinta Way & E 11th Ave, Denver, CO 80220, USA","39.7328644","-104.8933619"
"2","11TH AVE",2009-10-14,"WB",22,14,NA,NA,NA,"FAIRFAX","Fairfax St & E 11th Ave, Denver, CO 80220, USA","39.7328791","-104.928085"
"3","13TH ST",2006-01-12,"WB",1600,1279,NA,NA,NA,"FRANKLIN ST","Franklin St, Denver, CO, USA","39.770288","-104.9684029"
"4","13TH ST",2015-10-16,"SB",26,300,NA,961,NA,"CHAMPA ST ","Champa St & 13th St, Denver, CO 80204, USA","39.743557","-104.997925"
"5","13TH ST",2015-10-16,"SB",95,239,NA,1138,NA,"ARAPAHOE ST ","13th St & Arapahoe St, Denver, CO 80202, USA","39.7450679","-104.9992703"
"6","15TH ST",2009-06-04,"NB",654,1102,NA,NA,NA,"ARAPAHOE ST","15th St & Arapahoe St, Denver, CO 80202, USA","39.7469314","-104.9968379"
"7","15th ST.",2013-03-14,"NBLT",120,156,NA,2080,NA,"LARIMER ST.","15th St & Larimer St, Denver, CO 80202, USA","39.7482765","-104.9986245"
"8","17TH  AVE",2008-10-14,"EB",690,1579,NA,NA,NA,"MADISON ST","Madison St, Denver, CO, USA","39.7437829","-104.9465126"
"9","17TH AVE",2007-10-05,"EB",816,1740,NA,NA,NA,"FRANKLIN ST","Franklin St & E 17th Ave, Denver, CO 80218, USA","39.7432466","-104.9684441"
"10","17TH AVE",2007-10-05,"EB",813,1587,NA,NA,NA,"GRANT ST","Grant St & E 17th Ave, Denver, CO 80203, USA","39.7432664","-104.9835876"
"11","17TH AVE",2007-10-05,"EB",780,1844,NA,NA,NA,"WILLIAMS","N Williams St & E 17th Ave, Denver, CO 80218, USA","39.7432462","-104.9659811"
"12","17TH AVE",2007-10-13,"EB",998,908,NA,NA,NA,"LOGAN ST","Logan St & E 17th Ave, Denver, CO 80203, USA","39.7432719","-104.9823334"
"13","17TH AVE",2007-10-13,"EB",774,815,NA,NA,NA,"WASHINGTON ST","N Washington St & E 17th Ave, Denver, CO 80203, USA","39.7432659","-104.9787409"
"14","17TH AVE",2009-09-23,"EB/WB",543,747,NA,NA,NA,"VALENTIA ST","Valentia St & E 17th Ave, Denver, CO 80220, USA","39.74379","-104.8916784"
"15","17TH AVE",2010-06-07,"WB",691,536,NA,NA,NA,"WO ADAMS St.","E 17th Ave, Colorado, USA","39.743808","-104.8952021"
"16","17TH ST",2009-06-05,"SB",942,1167,NA,NA,NA,"ARAPAHOE ST","Arapahoe St & 17th St, Denver, CO 80202, USA","39.7487989","-104.9944358"
"17","18TH",2006-01-10,"WB",1028,950,NA,NA,NA,"CALIFORNIA ST","California St & 18th St, Denver, CO 80202, USA","39.7470567","-104.9897707"
"18","18TH",2006-01-10,"WB",992,1074,NA,NA,NA,"STOUT ST","Stout St & 18th St, Denver, CO 80202, USA","39.7477158","-104.9906248"
"19","18TH",2009-06-04,"NB",527,698,NA,NA,NA,"ARAPAHOE ST","18th St & Arapahoe St, Denver, CO 80202, USA","39.750075","-104.993585"
"20","18th ST.",2012-09-03,"EB",16,37,NA,343,NA,"BASSETT ST. ","18th St / Stout Station, Stout St, Denver, CO 80257, USA","39.7479509","-104.9905112"
